Brawler,Map,Adjusted Win Rate
GRIFF,Binary Coding,0.598231355
ROSA,Flooded Mine,0.598175586
SQUEAK,MONKEY MAZE,0.598165989
TARA,Crystal Arcade,0.598110889
POCO,Dueling Beetles,0.598099403
DARRYL,Nuts & Bolts,0.598098681
FRANK,Pinball Dreams,0.598044537
JESSIE,Pinhole Punt,0.597978854
NITA,Firm Grip,0.5979778
SQUEAK,TIGER TRAP,0.597862664
COLETTE,TIGER TRAP,0.597782529
COLT,Rattlesnake Ravine,0.597594713
GALE,NO SURRENDER,0.597363179
TARA,WARRIOR'S WAY,0.597342237
RICO,Four Squared,0.597318278
FRANK,Junk Park,0.597256961
COLETTE,Kaboom Canyon,0.597234898
BULL,MONKEY MAZE,0.597200543
FRANK,Center Stage,0.597174776
SANDY,Firm Grip,0.597159243
FRANK,Field Goal,0.59709161
SQUEAK,DANGER CHAMBER,0.597043089
LOLA,Feast or Famine,0.596812762
CARL,NO SURRENDER,0.596809952
SPIKE,DANGER CHAMBER,0.596722064
ROSA,TIGER TRAP,0.596705081
8-BIT,Deep End,0.596663701
GENE,Rattlesnake Ravine,0.596615383
FANG,Gem Source,0.596602885
TARA,Cotton Candy Dreams,0.596560955
BEA,Field Goal,0.596534191
FANG,TIGER TRAP,0.596471258
TARA,Super Stadium,0.596465957
ROSA,WARRIOR'S WAY,0.596383477
SHELLY,SUPER CITY,0.596340428
BUZZ,Pinhole Punt,0.596238055
LOLA,Safety Center,0.596008411
ASH,DANGER CHAMBER,0.595896259
COLETTE,DANGER CHAMBER,0.595841497
MEG,Minecart Madness,0.595816678
FRANK,Slalom Slam,0.595795327
GALE,TIGER TRAP,0.595772867
TARA,Firm Grip,0.595755805
MR. P,TIGER TRAP,0.595747403
CROW,Lit Match,0.595742798
LOLA,SUPER CITY,0.595741386
BARLEY,Nuts & Bolts,0.595735824
DARRYL,Last Stand,0.595637597
SANDY,Flooded Mine,0.595563716
FANG,Slalom Slam,0.595563032
JESSIE,Pierced,0.595526722
SPROUT,Bric-a-Brac,0.595505726
GROM,Acute Angle,0.595497325
FRANK,Sticky Notes,0.59529352
ASH,Feast or Famine,0.595201494
MEG,Kaboom Canyon,0.595193338
DARRYL,NO SURRENDER,0.595172444
SHELLY,SHROUDING SERPENT,0.59505906
GROM,Dueling Beetles,0.594975873
BULL,Pit Stop,0.594967679
NITA,Diagonal Alley,0.594846813
EDGAR,Danger Zone,0.594833021
GALE,Bric-a-Brac,0.594810996
MEG,Sticky Notes,0.594798517
TARA,SHROUDING SERPENT,0.594779737
MR. P,NO SURRENDER,0.59472545
JESSIE,Deep Diner,0.594719509
SPIKE,WARRIOR'S WAY,0.594703614
GRIFF,MONKEY MAZE,0.59468791
GROM,Four Squared,0.594684923
GRIFF,WARRIOR'S WAY,0.594645737
LOLA,Dark Fantasies,0.59460918
FRANK,Firm Grip,0.59456912
GRIFF,Field Goal,0.59451612
POCO,Sneaky Fields,0.594464946
ASH,Safety Center,0.594432897
PENNY,DANGER CHAMBER,0.594418296
BUZZ,Some Assembly Required,0.594383378
EL PRIMO,TIGER TRAP,0.594359933
BELLE,Firm Grip,0.594319139
EL PRIMO,SHROUDING SERPENT,0.594164565
GALE,Slalom Slam,0.594159511
LOLA,SHROUDING SERPENT,0.594099962
